"Etapa","Item de verifica??o","Status (OK/NC/NA)","Observa??o","A??o recomendada"
"Identifica??o","Confirmar cliente, ambiente e equipamento","","",""
"Identifica??o","Registrar condi??o visual antes da interven??o","","",""
"Seguran?a","Confirmar autoriza??o, isolamento e escopo da atividade","","",""
"Inspe??o visual","Observar filtros, serpentinas, dreno e bandeja conforme acesso permitido","","",""
"Inspe??o visual","Observar fixa??o, ru?do, vibra??o e sinais vis?veis de vazamento","","",""
"Inspe??o visual","Registrar condi??es el?tricas vis?veis sem interven??o fora do escopo","","",""
"Funcionamento","Executar teste previsto pela empresa e pelo fabricante","","",""
"Funcionamento","Registrar medi??es aplic?veis e a condi??o de teste","","",""
"Fechamento","Registrar fotos e n?o conformidades relevantes","","",""
"Fechamento","Descrever o que foi inspecionado, executado ou apenas recomendado","","",""
"Fechamento","Identificar t?cnico, data, hor?rio e respons?vel no local","","",""
"Nota","Base de refer?ncia: adaptar ao fabricante, contrato, instala??o e orienta??o do respons?vel t?cnico","","",""
